Epoch: 0 | Iteration: 0 | Classification loss: 1.44040 | Regression loss: 1.04493 | Running loss: 2.48532
Epoch: 0 | Iteration: 1 | Classification loss: 1.44682 | Regression loss: 1.03703 | Running loss: 2.48459
Epoch: 0 | Iteration: 2 | Classification loss: 1.36564 | Regression loss: 1.02256 | Running loss: 2.45246
Epoch: 0 | Iteration: 3 | Classification loss: 1.34275 | Regression loss: 1.05948 | Running loss: 2.43990
Epoch: 0 | Iteration: 4 | Classification loss: 1.35399 | Regression loss: 1.06106 | Running loss: 2.43493
Epoch: 0 | Iteration: 5 | Classification loss: 1.37125 | Regression loss: 1.03808 | Running loss: 2.43066
Epoch: 0 | Iteration: 6 | Classification loss: 1.28910 | Regression loss: 1.10614 | Running loss: 2.42560
Epoch: 0 | Iteration: 7 | Classification loss: 1.31538 | Regression loss: 1.04377 | Running loss: 2.41730
Epoch: 0 | Iteration: 8 | Classification loss: 1.28695 | Regression loss: 0.99173 | Running loss: 2.40190
Epoch: 0 | Iteration: 9 | Classification loss: 1.28864 | Regression loss: 1.03060 | Running loss: 2.39363
Epoch: 0 | Iteration: 10 | Classification loss: 1.37342 | Regression loss: 0.99189 | Running loss: 2.39106
Epoch: 0 | Iteration: 11 | Classification loss: 1.28070 | Regression loss: 0.96706 | Running loss: 2.37911
Epoch: 0 | Iteration: 12 | Classification loss: 1.26394 | Regression loss: 0.94661 | Running loss: 2.36615
Epoch: 0 | Iteration: 13 | Classification loss: 1.27121 | Regression loss: 1.04922 | Running loss: 2.36288
Epoch: 0 | Iteration: 14 | Classification loss: 1.28873 | Regression loss: 1.02918 | Running loss: 2.35988
Epoch: 0 | Iteration: 15 | Classification loss: 1.38097 | Regression loss: 1.01941 | Running loss: 2.36241
Epoch: 0 | Iteration: 16 | Classification loss: 1.24024 | Regression loss: 0.93426 | Running loss: 2.35136
Epoch: 0 | Iteration: 17 | Classification loss: 1.27397 | Regression loss: 0.97918 | Running loss: 2.34590
Epoch: 0 | Iteration: 18 | Classification loss: 1.26599 | Regression loss: 1.20282 | Running loss: 2.35237
Epoch: 0 | Iteration: 19 | Classification loss: 1.25637 | Regression loss: 0.95372 | Running loss: 2.34526
Epoch: 0 | Iteration: 20 | Classification loss: 1.24869 | Regression loss: 0.90135 | Running loss: 2.33596
Epoch: 0 | Iteration: 21 | Classification loss: 1.30219 | Regression loss: 1.01928 | Running loss: 2.33530
Epoch: 0 | Iteration: 22 | Classification loss: 1.25006 | Regression loss: 1.13336 | Running loss: 2.33739
Epoch: 0 | Iteration: 23 | Classification loss: 1.25622 | Regression loss: 1.09620 | Running loss: 2.33802
Epoch: 0 | Iteration: 24 | Classification loss: 1.22989 | Regression loss: 0.98409 | Running loss: 2.33306
Epoch: 0 | Iteration: 25 | Classification loss: 1.27814 | Regression loss: 1.03084 | Running loss: 2.33213
Epoch: 0 | Iteration: 26 | Classification loss: 1.27952 | Regression loss: 1.04520 | Running loss: 2.33186
Epoch: 0 | Iteration: 27 | Classification loss: 1.21842 | Regression loss: 1.12087 | Running loss: 2.33212
Epoch: 0 | Iteration: 28 | Classification loss: 1.20229 | Regression loss: 0.88958 | Running loss: 2.32384
Epoch: 0 | Iteration: 29 | Classification loss: 1.20129 | Regression loss: 1.11862 | Running loss: 2.32371
